,category,outliers,words
29,Q123266,"['Stuttgart', 'Ciutat_Vella', 'autonomous_region', 'Bakhchysarai_Raion', 'fibula', 'torc', '']","['Berat', 'Delvinë', 'Gjirokastër_District', 'Korçë_District', 'Vlorë_District', 'Bulqizë', 'Skrapar', 'Dibër']"
30,Q2989398,"['Murqub_District', 'Ripollès', 'Line_Islands', 'Murqub_District', 'Verbano-Cusio-Ossola', 'Vibo_Valentia', '']","['Annaba', 'Constantine', 'Sétif', 'Batna', 'Oran', 'Béjaïa', 'Tamanrasset', 'Tipaza']"
31,Q18703581,"['Rummikub', 'Immortal_Game', 'Arimaa', 'Jenga', 'snowball_fight', 'sack_race', '']","['Scrabble', 'Reversi', 'Gomoku', 'Go', 'Battleship', 'Hex', 'tic-tac-toe', 'shogi']"
32,Q3257686,"['Bariano', 'Potidaea', 'SAP_Kosovo', 'West_Berlin', 'Melk_Abbey', 'Cîteaux', '']","['Langreo', 'Golmayo', 'Villahermosa', 'Dénia', 'Avilés', 'Aguascalientes', 'Monterrey', 'Llívia']"
33,Q263639,"['Mixco', 'Kaisariani', 'Simferopol_Raion', 'Bakhchysarai_Raion', 'Capital_District', 'Vianden', '']","['Ponce,_Puerto_Rico', 'Bayamón,_Puerto_Rico', 'Carolina', 'Vieques', 'Culebra', 'Arecibo', 'San_Juan', 'Mayagüez']"
34,Q1195448,"['RPD', 'ZB_vz._26', 'Besa_machine_gun', 'M1919_Browning_machine_gun', 'Paris_Gun', 'mitrailleuse', '']","['MG_08', 'DShK', 'NSV', 'KPV', 'Maxim_gun', 'MG_131_machine_gun', 'Type_92_Heavy_Machine_Gun', 'PM_M1910']"
35,Q11004,"['Fabada_Asturiana', 'Kulcha', 'Galápagos_sea_lion', 'treehopper', '']","['Brassica_oleracea', 'chicory', 'fennel', 'spinach', 'Portulaca_oleracea', 'lotus', 'Capsicum_annuum', 'ramsons']"
36,Q5123999,"['Autonomous_Republic_of_Crimea', 'Bratslav', 'Sirte', 'Murqub_District', 'Bernau', 'Siegen', '']","['Ternopil', 'Cherkasy', 'Donetsk', 'Vinnytsia', 'Chernihiv', 'Kherson', 'Lutsk', 'Uzhhorod']"
37,Q1547289,"['Seine-Maritime', 'department', 'department', 'voivodeship', '']","['Magdeburg', 'Worms', 'Eisenach', 'Erfurt', 'Augsburg', 'Heidelberg', 'Halle', 'Marburg']"
38,Q16970,"['Bassae', 'Brihadeeswarar_Temple', 'Jongmyo', 'Priory_of_Sion', 'Praça_do_Comércio', 'Neverland_Ranch', '']","['Pantheon', 'Panthéon', 'Sacré-Cœur', 'Church_of_Cyprus', 'Santa_Croce', 'Kaiser_Wilhelm_Memorial_Church', 'Sagrada_Família', 'Salisbury_Cathedral']"
39,Q667509,"['Vestmannaeyjar', 'Seyðisfjörður', 'Heilbronn', 'Rastatt', 'Almaty', 'Maputo', '']","['Graz', 'Sankt_Pölten', 'Innsbruck', 'Linz', 'Salzburg', 'Bregenz', 'Klagenfurt', 'Eisenstadt']"
40,Q484170,"['department', 'Deux-Sèvres', 'Mukacheve_Raion', 'Bakhchysarai_Raion', 'Redondo', 'Kaskaskia', '']","['Montpellier', 'Nantes', 'Strasbourg', 'Bordeaux', 'Rouen', 'Nice', 'Toulouse', 'Grenoble']"
41,Q131299,"['HMS', 'SI_prefix', 'MS', 'SI_prefix', 'Carnival_of_Santa_Cruz_de_Tenerife', 'Sun_Fairs', '']","['nano', 'kilo', 'mega', 'tera', 'centi-', 'giga', 'pico-', 'micro-']"
42,Q308891,"['Diana_Region', 'region', '14th_arrondissement', '10th_arrondissement_of_Paris', 'Krasnoperekopsk_Raion', 'Rozdolne_Raion', '']","['Setagaya,_Tokyo', 'Shinjuku', 'Minato', 'Taitō', 'Suginami', 'Shibuya', 'Bunkyō,_Tokyo', 'Chiyoda']"
43,Q821435,"['Altona', 'Hamburg-Mitte', 'Central_Administrative_Okrug', 'South-Eastern_Administrative_Okrug', 'Bariano', 'New_York_metropolitan_area', '']","['Friedrichshain-Kreuzberg', 'Charlottenburg-Wilmersdorf', 'Spandau', 'Mitte', 'Tempelhof-Schöneberg', 'Neukölln', 'Pankow', 'Lichtenberg']"
44,Q747381,"['The_Fellowship_of_the_Ring', 'romance_novel', 'pseudepigraphical', 'rakugo', 'Wikinews', 'Urban_Dictionary', '']","['Full_Metal_Panic!', 'Lucky_Star', 'Black_Lagoon', 'Sword_Art_Online', 'Shakugan_no_Shana', 'Spice_and_Wolf', 'FLCL', 'Haruhi_Suzumiya']"
45,Q355567,"['Prime_Minister_of_Czechoslovakia', 'Prime_Minister_of_Belize', 'driver', 'guitarist', 'Secretary_of_Labor', 'Maharaja', '']","['Sultan', 'king', 'Pharaoh', 'knight', 'samurai', 'Duke', 'Emperor', 'Byzantine_Emperor']"
46,Q171441,"['Thirteen_Colonies', 'West_Berlin', 'raion', 'voivodeship', '']","['Büsingen_am_Hochrhein', 'Madha', ""Campione_d'Italia"", 'Vatican_City', 'San_Marino', 'Saint_Pierre_and_Miquelon', 'Lesotho', 'Llívia']"
47,Q1068842,"['Kyrkbron', 'Gamla_bron', 'Burma_Railway', 'Channel_Tunnel', 'Millau_Viaduct', 'Glienicke_Bridge', '']","['packhorse_bridge', 'Kapellbrücke', 'Pont_des_Arts', 'Bridge_of_Sighs', 'Rialto_Bridge', ""Ponte_dell'Accademia"", ""Ponte_Sant'Angelo"", 'Millennium_Bridge']"
48,Q896881,"['Seine-Saint-Denis', 'Deux-Sèvres', 'autonomous_region', 'department', '']","['Lüneburg', 'Whitehorse', 'Yellowknife', 'Tübingen', 'Rosenheim', 'Gera', 'Kempten', 'Landshut']"
49,Q3062294,"['uti_possidetis', 'jus_cogens', 'New_World_Order', 'Paul_is_dead', 'jus_cogens', 'In_God_We_Trust', '']","['casus_belli', 'de_jure', 'de_facto', 'alma_mater', 'persona_non_grata', 'Ab_urbe_condita', 'status_quo', 'ad_hominem']"
50,Q4164871,"['spree_killer', 'driver', 'Satsuma_Domain', 'lot', 'corduroy', 'fleece', '']","['Prime_Minister', 'bishop', 'king', 'Pope', 'Tsar', 'mayor', 'President']"
51,Q9143,"['RSS', 'XSLT', 'AVG', 'NOD32', 'TIFF', 'SVG', '']","['C', 'Java', 'C++', 'JavaScript', 'Python', 'Perl', 'Pascal', 'SQL']"
52,Q3884033,"['quadratic_form', 'Stadtholder', 'neper', 'natural_logarithm', 'bisection_method', ""Shor's_algorithm"", '']","['exponentiation', 'cross_product', 'binary_operation', ""two's_complement"", 'reciprocal', 'conjugate_transpose', 'triple_product', 'complement']"
53,Q13402959,"['railbus', 'Stadler_FLIRT', 'railbus', ""Stephenson's_Rocket"", '']","['Sapsan', 'Intercity-Express', 'TGV', 'Acela_Express', 'Thalys', 'CRH3', 'Shinkansen', 'AGV']"
54,Q843886,"['Nana-Grébizi', 'Sangha-Mbaéré', 'Jafara', 'Vantaa', 'Vibo_Valentia', 'Vicenza', '']","['Bangui', 'Haute-Kotto', 'Mambéré-Kadéï', ""Ombella-M'Poko"", 'Lobaye', 'Bamingui-Bangoran', 'Ouham', 'Ouaka']"
55,Q21191019,"['T.U.F.F._Puppy', 'Family_Guy', 'The_X_Factor', 'comedy-drama', 'The_Fellowship_of_the_Ring', 'Dune', '']","['Doraemon', 'Naruto', 'Neon_Genesis_Evangelion', 'One_Piece', 'Death_Note', 'Bleach', 'Dragon_Ball', 'InuYasha']"
56,Q20738676,"['Unstrut-Hainich', 'Kyffhäuserkreis', 'Lauterbach', 'Erbach', 'Rhine-Ruhr', 'London', '']","['Rhein-Neckar-Kreis', 'Böblingen', 'Heilbronn', 'Hohenlohe', 'Alb-Donau', 'Breisgau-Hochschwarzwald', 'Zollernalbkreis', 'Esslingen']"
57,Q154038,"['food_mill', 'colander', 'signal_box', 'iron_maiden', 'Nokia_1110', 'Nokia_3210', '']","['wok', 'cezve', 'tandoor', 'cauldron', 'pressure_cooker', 'deep_fryer', 'bain-marie', 'kettle']"
58,Q15978299,"['Tarn', 'Deux-Sèvres', 'department', 'voivodeship', '']","['Karlovy_Vary', 'Liberec', 'Pardubice', 'Olomouc', 'Ostrava', 'Plzeň', 'Brno', 'České_Budějovice']"
59,Q341,"['CorelDRAW', 'iPhoto', 'ransomware', 'iPhoto', '']","['Debian', 'GIMP', 'PHP', 'AutoWikiBrowser', 'Python', 'MediaWiki', 'Perl', 'Firefox']"
60,Q383092,"['École_Normale_Supérieure', 'Chalmers_University_of_Technology', 'École_Centrale_Paris', 'École_Normale_Supérieure', 'École_Polytechnique', ""St_Peter's_College"", '']","['Berlin_University_of_the_Arts', 'Académie_Julian', 'École_nationale_supérieure_des_Beaux-Arts', 'Bezalel_Academy_of_Arts_and_Design', 'Academy_of_Fine_Arts_Vienna', 'Imperial_Academy_of_Arts', 'Gerasimov_Institute_of_Cinematography', 'Kunstakademie_Düsseldorf']"
61,Q22302160,"['canoe', 'motorboat', 'Disney_Characters', 'Medal', 'Tor', 'FidoNet', '']","['train', 'aircraft', 'passenger', 'shares', 'vehicle', 'human', 'countries', 'pilot']"
62,Q3389302,"['Heckler_&_Koch_USP', 'SKS', 'Colt_Single_Action_Army', 'culverin', 'M61_Vulcan', 'Schwarzlose_MG_M.07/12', '']","['Browning_Hi-Power', 'Luger_pistol', 'M1911_pistol', 'Beretta_92', 'Makarov_PM', 'Walther_P38', 'TT_pistol', 'Desert_Eagle']"
63,Q2267870,"['Lahnstein', 'Hanau', 'Bachenberg', 'Sankt_Goarshausen', 'Panama_City', 'Cairo', '']","['Hann._Münden', 'Einbeck', 'Gifhorn', 'Helmstedt', 'Bad_Pyrmont', 'Nienburg', 'Nordhorn', 'Aurich']"
64,Q2912397,"[""Giro_d'Italia"", 'EUR', 'Daytona_500', ""Côte_d'Ivoire_Premier_Division"", 'Croatian_Cup', '']","['Clásica_de_San_Sebastián', 'Paris–Tours', 'Vattenfall_Cyclassics', 'Gent–Wevelgem', 'Giro_di_Lombardia', 'Paris–Roubaix', 'Liège–Bastogne–Liège', 'Tour_of_Flanders']"
65,Q2327515,"['Tübingen', 'Cologne', 'Lauterbach', 'Soest', '']","['Ulm', 'Heilbronn', 'Karlsruhe', 'Stuttgart', 'Heidelberg', 'Baden-Baden', 'Mannheim', 'Freiburg']"
66,Q5055981,"['Hafnarfjörður', 'Stykkishólmur', 'Borongan', 'Las_Piñas', '']","['Oviedo', 'Langreo', 'Navia', 'Llanes', 'Avilés', 'Gijón', 'Aller', 'Cangas_de_Onís']"
67,Q1070990,"['Tashkurgan_Tajik_Autonomous_County', 'Yangshuo', ""Val_d'Aran"", 'Alta_Ribagorça', 'Vicenza', 'Verona', '']","['Golmud', 'Dunhuang', 'Kashgar', 'Qufu', 'Khotan', 'Dali', 'Yining', 'Shihezi']"
68,Q18602249,"['frequency_analysis', 'm', 'Rock_am_Ring', 'Rock_in_Rio', '']","['June', 'December', 'May', 'September', 'March', 'April', 'January', 'February']"
69,Q21125433,"['Linux_Standard_Base', 'Gentoo_Linux', 'MySQL', 'OTRS', 'MySQL', 'MongoDB', '']","['Tux_Racer', 'SimCity', 'OpenTTD', '2048', 'SuperTux', 'Freeciv', 'NetHack', 'The_Battle_for_Wesnoth']"
70,Q3333265,"['Saint_Helier', 'Rábade', 'Azawad', 'international_waters', 'Belgrade', 'Grožnjan', '']","['Grandas_de_Salime', 'Onís', 'Proaza', 'Castropol', 'Colunga', 'Taramundi', 'Tapia_de_Casariego', 'Pesoz']"
71,Q1137833,"['Miyama', 'Tsushima', 'Olsztynek', 'Manga', 'Capital_District', 'Costa_Daurada', '']","['Kanazawa', 'Nara', 'Kagoshima', 'Nagano', 'Matsuyama', 'Akita', 'Nagasaki', 'Naha']"
72,Q3077461,"['Teutoburg_Forest', 'Kaya_(Mijikenda)', 'Highlands_of_Iceland', 'highland', 'Jurassic_Coast', 'Challenger_Deep', '']","['forest', 'taiga', 'grass', 'Pampas', 'prairie', 'mangrove', 'jungle', 'steppe']"
73,Q36534,"['Haber_process', 'Fischer-Tropsch_process', 'benchmarking', 'Bessemer_process', 'spawning', 'mutation', '']","['catalyzes', 'photolysis', 'elimination_reaction', 'neutralization', 'oxidation', 'degradation', 'Diels-Alder_reaction', 'chlorination']"
74,Q928830,"['Frankfurt', 'Berlin', 'Penn_Station', 'Grand_Central_Terminal', 'Pyramid_of_Djoser', 'Great_Pyramid_of_Giza', '']","['Tokyo_Station', 'Amsterdam_Centraal', ""King's_Cross_St._Pancras"", 'Lubyanka', 'Baker_Street', 'London_Victoria', 'Charles_de_Gaulle_–_Étoile', 'London_Paddington']"
75,Q20900468,"['Victory_Day', 'Martin_Luther_King,_Jr._Day', 'Junior_Eurovision_Song_Contest_2015', 'Intervision_Song_Contest', 'World_Cup', 'World_Touring_Car_Championship', '']","['Maundy_Thursday', 'Shrove_Tuesday', ""St._Stephen's_Day"", 'Vidovdan', 'kermis', ""Saint_Lucy's_Day"", 'Indian_summer', 'Maslenitsa']"
76,Q192287,"['Alavus', 'Line_Islands', 'West_Berlin', 'international_waters', 'Vicenza', 'Venice', '']","['Sochi', 'Saratov', 'Novosibirsk', 'Podolsk', 'Volgograd', 'Vladivostok', 'Kaliningrad', 'Paltoga']"
77,Q12813115,"['Kibera', 'Parramatta', 'Central_Sava_Statistical_Region', 'Central_Slovenia_Statistical_Region', 'frequency_analysis', 'man-in-the-middle_attack', '']","['Linköping', 'Kalmar', 'Karlstad', 'Västerås', 'Lund', 'Visby', 'Gothenburg', 'Umeå']"
78,Q933394,"['Swaziland', 'Niger', 'Latgale', 'international_waters', 'mohalla', 'department', '']","['Ceuta', 'Büsingen_am_Hochrhein', 'Nakhchivan', 'Madha', 'Melilla', ""Campione_d'Italia"", 'Saint_Pierre_and_Miquelon', 'Llívia']"
79,Q484000,"['Dewoitine_D.520', 'Cassini', 'Polaris', 'Topol-M', 'Library_of_Celsus', 'Biblioteca_Ambrosiana', '']","['RQ-2_Pioneer', 'MiG_Skat', 'AeroVironment_RQ-14_Dragon_Eye', 'RQ-4_Global_Hawk', 'GNAT', 'IAI_Bird-Eye', 'Northrop_Grumman_RQ-180', 'Tadiran_Mastiff']"
80,Q4946461,"['Haapsalu', 'Ski_Dubai', 'Bariano', 'Potidaea', 'Patriarchate_of_Peć', 'Simonopetra_monastery', '']","['Überlingen', 'Bad_Wimpfen', 'Aalen', 'Piešťany', 'Aachen', 'Baden-Baden', 'Mergentheim', 'Bad_Liebenzell']"
81,Q179805,"['laziness', 'doping', 'Turkologist', 'cryptanalysis', 'Chinese_art', 'turntablist', '']","['conservative', 'Third_Way', 'pluralism', 'Green_politics', 'legitimacy', 'classical_liberal', 'collectivism', 'liberal']"
82,Q17299750,"['World_Cup', 'World_Touring_Car_Championship', 'Taça_da_Liga', ""Côte_d'Ivoire_Premier_Division"", 'Fukuoka_Marathon', 'Premier_League', '']","['World_Open', 'Malta_Grand_Prix', 'Canadian_Masters', 'Dubai_Classic', 'Welsh_Professional_Championship', 'Welsh_Open', 'Thailand_Masters', 'British_Open']"
83,Q1259759,"['Hikaru_no_Go', 'animated_television_series', 'talent_show', 'Bob_Barker', 'alternate_history', 'Bella_Swan', '']","['Sherlock', 'The_4400', '100_Greatest_Britons', 'Seventeen_Moments_of_Spring', 'Spartacus:_Gods_of_the_Arena', 'Das_Boot', 'Band_of_Brothers', 'The_Pacific']"
84,Q3220391,"['video_on_demand', 'Asterisk', 'Derveni_papyrus', 'Traditional', 'iWeb', 'yacc', '']","['Flickr', 'LinkedIn', 'VK', 'Last.fm', 'Twitter', 'MySpace', 'Instagram', 'Facebook']"
85,Q20653563,"['Olympiakos_Nicosia', 'Lotto-Belisol', 'World_Association_of_Girl_Guides_and_Girl_Scouts', 'European_Athletic_Association', '']","['Team_CSC', 'Lampre-Merida', 'Quick_Step', 'Rabobank', 'Banesto', 'Française_des_Jeux', 'Bouygues_Télécom', 'AG2R_Prévoyance']"
86,Q6465,"['Saar', 'South_West_Africa', 'Thirteen_Colonies', 'Latgale', 'West_Berlin', 'SAP_Kosovo', '']","['Alpes-de-Haute-Provence', 'Hérault', 'Vendée', 'Ain', 'Aisne', 'Saint_Pierre_and_Miquelon', 'Gironde', 'Paris']"
87,Q28640,"['goaltender', 'centre', 'reality', 'lot', 'corduroy', 'satin', '']","['teacher', 'astronaut', 'actor', 'priest', 'physician', 'poet', 'scientist', 'writer']"
88,Q197,"['autogyro', 'gyrodyne', 'Aero_L-39_Albatros', 'Mitsubishi_F-1', 'trainer', 'blimp', '']","['Tupolev_Tu-144', 'fighter_aircraft', 'B-29_Superfortress', 'U-2', 'F/A-18_Hornet', 'glider', 'Messerschmitt_Me_262', 'B-17_Flying_Fortress']"
89,Q3199141,"['Phong_Nha-Kẻ_Bàng_National_Park', 'Misool', 'Line_Islands', 'Murqub_District', 'Vibo_Valentia', 'Viterbo', '']","['Medan', 'Bandung', 'Palembang', 'Yogyakarta', 'Banda_Aceh', 'Semarang', 'Surabaya', 'Padang']"
90,Q7268568,"['Palomar_de_Arroyos', 'Slatina', 'Mukacheve_Raion', 'Bakhchysarai_Raion', 'Vianden', 'Redange', '']","['Weststellingwerf', 'Ferwerderadiel', 'Smallingerland', 'Ooststellingwerf', 'Kollumerland_en_Nieuwkruisland', 'Het_Bildt', 'Leeuwarderadeel', 'Opsterland']"
91,Q8514257,"['yurt', 'Googleplex', 'porosity', 'hardness', 'group', 'semigroup', '']","['split', 'contrapposto', 'standing', 'S_Curve', 'Vīrabhadrāsana_III', 'body_language', 'dogeza', 'decubitus']"
92,Q214070,"[""Zipf's_law"", 'law_of_mass_action', ""Charles's_law"", 'The_Wild_Bunch', 'Fantômas', '']","[""Ohm's_law"", 'supersymmetry', 'equivalence_principle', 'Zeeman_effect', 'wave–particle_duality', 'mass–energy_equivalence', ""Bernoulli's_principle"", ""Newton's_law_of_universal_gravitation""]"
93,Q2394680,"['ppi', 'Bohr_magneton', 'absolute_magnitude', 'population_density', 'Love_Parade', 'BBC_Proms', '']","['°C', 'Newton_scale', 'Rankine', 'Rømer', 'Delisle_scale', 'Réaumur_scale', 'K', 'Fahrenheit']"
94,Q264965,"['Trecento', 'White_Tiger', 'Artek', 'calculus', 'jute', 'satin', '']","['skinhead', 'hip_hop', 'hipster', 'goth', 'riot_grrrl', 'Lolita_fashion', 'rude_boy', 'demoscene']"
95,Q15987302,"['character_actor', 'paparazzi', 'guitarist', 'contract_killer', 'Rudolf_Höss', 'Chenghua_Emperor', '']","['notary', 'jurist', 'solicitor', 'barrister', 'prosecutor', 'lawyer', 'judge', 'coroner']"
96,Q11348,"['neper', 'dB', 'Nikon_D5100', 'DSLR', '']","['Stadtholder', 'quadratic_form', 'factorial', 'probability_mass_function', 'nth_root', 'wavelet', 'Kronecker_delta', 'odd']"
97,Q2915955,"['anarcha-feminist', 'May_1968', 'German_Expressionism', 'Dogme_95', 'Judaism', 'Ugarit', '']","['Taoism', 'Enlightenment', 'existentialism', 'logical_positivism', 'postmodern_philosophy', 'sophists', 'Confucianism', 'Aristotelian']"
98,Q681277,"['Csepreg', 'Albertirsa', 'Kaeng_Krachan_National_Park', 'Isan', '']","['Győr', 'Debrecen', 'Miskolc', 'Székesfehérvár', 'Pécs', 'Szeged', 'Sopron', 'Nyíregyháza']"
99,Q2706302,"['Zenica-Doboj_Canton', 'Brčko_District', 'Line_Islands', 'Vantaa', 'Kurdistan_Uyezd', 'South_Tipperary', '']","['Prijedor', 'Mostar', 'Zenica', 'Bihać', 'Srebrenica', 'Bijeljina', 'Tuzla', 'Travnik']"
100,Q640364,"['Fjarðabyggð', 'Hafnarfjörður', 'Heilbronn', 'Rastatt', 'Astana', 'Almaty', '']","['Oradea', 'Brașov', 'Iași', 'Sibiu', 'Bucharest', 'Cluj-Napoca', 'Constanţa', 'Timișoara']"
