,category,word
260,type of reading material,card
261,type of reading material,editorials
262,type of reading material,folder
263,type of reading material,scroll
264,type of reading material,story
265,type of reading material,theme
266,type of reading material,mystery
267,type of reading material,advertisement
268,type of reading material,cartoon
269,type of reading material,label
270,type of reading material,literature
271,type of reading material,look
272,type of reading material,notebook
273,type of reading material,novelette
274,type of reading material,prose
275,type of reading material,scientific literat
276,type of reading material,sheet
277,type of reading material,telephone director
278,type of reading material,time
279,type of reading material,autobiography
280,type of reading material,catalogue
281,type of reading material,drama
282,type of reading material,flyer
283,type of reading material,instructions
284,type of reading material,pocketbook
285,type of reading material,pornography
286,type of reading material,term paper
287,type of reading material,almanac
288,type of reading material,cereal box
289,type of reading material,chronicle
290,type of reading material,classics
291,type of reading material,comic strip
292,type of reading material,composition
293,type of reading material,cookbook
294,type of reading material,dittoed sheet
295,type of reading material,document
296,type of reading material,handout
297,type of reading material,jokes
298,type of reading material,mad
299,type of reading material,manual
300,type of reading material,medical journal
301,type of reading material,microfilm
302,type of reading material,mimeographed sheet
303,type of reading material,music
304,type of reading material,news
305,type of reading material,newsweek
306,type of reading material,notice
307,type of reading material,novella
308,type of reading material,postcard
309,type of reading material,program
310,type of reading material,racing form
311,type of reading material,review
312,type of reading material,script
313,type of reading material,stock report
314,type of reading material,tract
315,type of reading material,travelogue
316,type of reading material,volume
317,military title,lieutenant
318,military title,general
319,military title,sergeant
320,military title,private
321,military title,captain
322,military title,colonel
323,military title,major
324,military title,corporal
325,military title,admiral
326,military title,commander
327,military title,ensign
328,military title,lieutenant colonel
329,military title,private first clas
330,military title,brigadier general
331,military title,second lieutenant
332,military title,first lieutenant
333,military title,major general
334,military title,master sergeant
335,military title,seaman
336,military title,airman
337,military title,commander in chief
338,military title,sir
339,military title,lieutenant general
340,military title,boatswain
341,military title,chief
342,military title,lieutenant command
343,military title,cadet
344,military title,officer
345,military title,commodore
346,military title,staff sergeant
347,military title,midshipman
348,military title,military police
349,military title,five-star general
350,military title,lieutenant junior
351,military title,marshal
352,military title,petty officer
353,military title,president
354,military title,airman first class
355,military title,boatswain's mate
356,military title,buc' private
357,military title,field marshal
358,military title,airman second clas
359,military title,airman third class
360,military title,bottle
361,military title,chief of staff
362,military title,commandant
363,military title,first sergeant
364,military title,jar
365,military title,lame corporal
366,military title,mate
367,military title,noncommisioned off
368,military title,plebe
369,military title,rear admiral
370,military title,sailor
371,military title,seaman first class
372,military title,seaman second clas
373,military title,specialist
374,military title,technical sergeant
375,military title,vice admiral
376,military title,warrant officer
377,four-footed animal,dog
378,four-footed animal,cat
379,four-footed animal,horse
380,four-footed animal,cow
381,four-footed animal,lion
382,four-footed animal,tiger
383,four-footed animal,elephant
384,four-footed animal,pig
385,four-footed animal,bear
386,four-footed animal,mouse
387,four-footed animal,rat
388,four-footed animal,deer
389,four-footed animal,sheep
390,four-footed animal,giraffe
391,four-footed animal,goat
392,four-footed animal,zebra
393,four-footed animal,squirrel
394,four-footed animal,wolf
395,four-footed animal,donkey
396,four-footed animal,rabbit
397,four-footed animal,leopard
398,four-footed animal,mule
399,four-footed animal,fox
400,four-footed animal,bull
401,four-footed animal,buffalo
402,four-footed animal,moose
403,four-footed animal,rhinoceros
404,four-footed animal,camel
405,four-footed animal,antelope
406,four-footed animal,hippopotamus
407,four-footed animal,lamb
408,four-footed animal,monkey
409,four-footed animal,raccoon
410,four-footed animal,panther
411,four-footed animal,llama
412,four-footed animal,skunk
413,four-footed animal,cheetah
414,four-footed animal,jaguar
415,four-footed animal,beaver
416,four-footed animal,gazelle
417,four-footed animal,turtle
418,four-footed animal,elk
419,four-footed animal,chipmunk
420,four-footed animal,coyote
421,four-footed animal,gnu
422,four-footed animal,hamster
423,four-footed animal,pony
424,four-footed animal,anteater
425,four-footed animal,opossum
426,four-footed animal,puma
427,four-footed animal,steer
428,four-footed animal,hyena
429,four-footed animal,ox
430,four-footed animal,calf
431,four-footed animal,lynx
432,four-footed animal,rodent
433,four-footed animal,alligator
434,four-footed animal,ape
435,four-footed animal,bison
436,four-footed animal,cattle
437,four-footed animal,dinosaur
438,four-footed animal,groundhog
439,four-footed animal,hog
440,four-footed animal,lizard
441,four-footed animal,man
442,four-footed animal,mink
443,four-footed animal,mountain lion
444,four-footed animal,tapir
445,four-footed animal,ass
446,four-footed animal,baby
447,four-footed animal,cougar
448,four-footed animal,crocodile
449,four-footed animal,frog
450,four-footed animal,jackass
451,four-footed animal,kangaroo
452,four-footed animal,ocelot
453,four-footed animal,otter
454,four-footed animal,reindeer
455,four-footed animal,weasel
456,four-footed animal,aardvark
457,four-footed animal,boar
458,four-footed animal,bobcat
459,four-footed animal,chimpanzee
460,four-footed animal,gopher
461,four-footed animal,gorilla
462,four-footed animal,muskrat
463,four-footed animal,platypus
464,four-footed animal,porcupine
465,four-footed animal,salamander
466,four-footed animal,wild beast
467,kind of cloth,cotton
468,kind of cloth,wool
469,kind of cloth,silk
470,kind of cloth,rayon
471,kind of cloth,nylon
472,kind of cloth,dacron
473,kind of cloth,linen
474,kind of cloth,satin
475,kind of cloth,orlon
476,kind of cloth,madras
477,kind of cloth,velvet
478,kind of cloth,burlap
479,kind of cloth,denim
480,kind of cloth,corduroy
481,kind of cloth,flannel
482,kind of cloth,mohair
483,kind of cloth,cheesecloth
484,kind of cloth,acetate
485,kind of cloth,terry cloth
486,kind of cloth,broadcloth
487,kind of cloth,muslin
488,kind of cloth,jersey
489,kind of cloth,tweed
490,kind of cloth,brocade
491,kind of cloth,seersucker
492,kind of cloth,canvas
493,kind of cloth,taffeta
494,kind of cloth,acrilan
495,kind of cloth,chiffon
496,kind of cloth,crepe
497,kind of cloth,felt
498,kind of cloth,gaberdine
499,kind of cloth,calico
500,kind of cloth,lace
501,kind of cloth,gingham
502,kind of cloth,sailcloth
503,kind of cloth,synthetics
504,kind of cloth,arnel
505,kind of cloth,knit
506,kind of cloth,peau de soie
507,kind of cloth,suede
508,kind of cloth,tablecloth
509,kind of cloth,cashmere
510,kind of cloth,oxford
511,kind of cloth,polyester
512,kind of cloth,banlon
513,kind of cloth,leather
514,kind of cloth,organdy
515,kind of cloth,percale
516,kind of cloth,pique
517,kind of cloth,polished cotton
518,kind of cloth,shantung
519,kind of cloth,sharkskin
520,kind of cloth,wosted
521,kind of cloth,dustcloth
522,kind of cloth,flax
523,kind of cloth,kodel
524,kind of cloth,oilcloth
525,kind of cloth,batiste
526,kind of cloth,celanese
527,kind of cloth,chamois
528,kind of cloth,chintz
529,kind of cloth,dishcloth
530,kind of cloth,plaid
531,kind of cloth,plastic
532,kind of cloth,rag
533,kind of cloth,serge
534,kind of cloth,velveteen washclot
535,kind of cloth,alpaca
536,kind of cloth,antron
537,kind of cloth,damask
538,kind of cloth,fabric
539,kind of cloth,fortrel
540,kind of cloth,homespun
541,kind of cloth,hopsacking
542,kind of cloth,loin
543,kind of cloth,organza
544,kind of cloth,pelon
545,kind of cloth,poplin
546,kind of cloth,rough
547,kind of cloth,sheer
548,kind of cloth,sheet
549,kind of cloth,soft
550,kind of cloth,stay prest
551,kind of cloth,surrah
552,kind of cloth,towel
553,kind of cloth,twill
554,kind of cloth,whipped cream
555,kind of cloth,yarn
556,color,blue
557,color,red
558,color,green
559,color,yellow
560,color,orange
561,color,black
562,color,purple
563,color,white
564,color,pink
565,color,brown
566,color,violet
567,color,gray
568,color,turquoise
569,color,gold
570,color,indigo
571,color,maroon
572,color,chartreuse
573,color,tan
574,color,lavender
575,color,beige
576,color,silver
577,color,aqua
578,color,magenta
579,color,olive
580,color,rose
581,color,mauve
582,color,navy
583,color,blue green
584,color,scarlet
585,color,burgundy
586,color,fuchsia
587,color,azure
588,color,cranberry
589,color,flesh
590,color,crimson
591,color,yellow green
592,color,orchid
593,color,peach
594,color,amber
595,color,aquamarine
596,color,blond
597,color,emerald
598,color,ivory
599,color,lemon
600,color,red orange
601,color,salmon
602,color,auburn
603,color,carmine
604,color,cream
605,color,heliotrope
606,color,lilac
607,color,ocher
608,color,red violet
609,color,ruby
610,color,tangerine
611,kitchen utensil,knife
612,kitchen utensil,spoon
613,kitchen utensil,fork
614,kitchen utensil,pan
615,kitchen utensil,pot
616,kitchen utensil,spatula
617,kitchen utensil,can opener
618,kitchen utensil,stove
619,kitchen utensil,bowl
620,kitchen utensil,mixer
621,kitchen utensil,cup
622,kitchen utensil,dish
623,kitchen utensil,beater
624,kitchen utensil,measuring cup
625,kitchen utensil,frying pan
626,kitchen utensil,plate
627,kitchen utensil,skillet
628,kitchen utensil,egg beater
629,kitchen utensil,refrigerator
630,kitchen utensil,sink
631,kitchen utensil,glass
632,kitchen utensil,toaster
633,kitchen utensil,strainer
634,kitchen utensil,ladle
635,kitchen utensil,measuring spoons
636,kitchen utensil,oven
637,kitchen utensil,saucer
638,kitchen utensil,blender
639,kitchen utensil,rolling pin
640,kitchen utensil,pot holder
641,kitchen utensil,sifter
642,kitchen utensil,coffee pot
643,kitchen utensil,cutting board
644,kitchen utensil,ice box
645,kitchen utensil,scraper
646,kitchen utensil,colander
647,kitchen utensil,sauce pan
648,kitchen utensil,bottle opener
649,kitchen utensil,knife sharpener
650,kitchen utensil,potato peeler
651,kitchen utensil,tongs
652,kitchen utensil,broiler
653,kitchen utensil,dishwasher
654,kitchen utensil,grater
655,kitchen utensil,kettle
656,kitchen utensil,potato masher
657,kitchen utensil,sieve
658,kitchen utensil,lid
659,kitchen utensil,mixmaster
660,kitchen utensil,pancake turner
661,kitchen utensil,table
662,kitchen utensil,opener
663,kitchen utensil,paring knife
664,kitchen utensil,pressure cooker
665,kitchen utensil,sponge
666,kitchen utensil,platter
667,kitchen utensil,salt and pepper sh
668,kitchen utensil,cake pan
669,kitchen utensil,carving knife
670,kitchen utensil,dishpan
671,kitchen utensil,grille
672,kitchen utensil,jar
673,kitchen utensil,roaster
674,kitchen utensil,serving spoon
675,kitchen utensil,thermometer
676,kitchen utensil,towel
677,kitchen utensil,butcher knife
678,kitchen utensil,clock
679,kitchen utensil,cookie sheet
680,kitchen utensil,dipper
681,kitchen utensil,dishrag
682,kitchen utensil,double boiler
683,kitchen utensil,flipper
684,kitchen utensil,food
685,kitchen utensil,freezer
686,kitchen utensil,grinder
687,kitchen utensil,hot pad
688,kitchen utensil,osterizer
689,kitchen utensil,salad fork
690,kitchen utensil,scissors
691,kitchen utensil,soup spoon
692,kitchen utensil,tablespoon
693,kitchen utensil,teaspoon
694,kitchen utensil,washrag
695,kitchen utensil,wooden board
696,kitchen utensil,bread board
697,kitchen utensil,bread knife
698,kitchen utensil,broom
699,kitchen utensil,butter knife
700,kitchen utensil,cabinets
701,kitchen utensil,cake knife
702,kitchen utensil,canister
703,kitchen utensil,casserole
704,kitchen utensil,chopper
705,kitchen utensil,church key
706,kitchen utensil,cleaver
707,kitchen utensil,coffee maker
708,kitchen utensil,corkscrew
709,kitchen utensil,dustpan
710,kitchen utensil,hot holder
711,kitchen utensil,meat cleaver
712,kitchen utensil,mixing bowl
713,kitchen utensil,pie pan
714,kitchen utensil,prongs
715,kitchen utensil,range
716,kitchen utensil,scouring pad
717,kitchen utensil,sheet
718,kitchen utensil,soup ladle
719,kitchen utensil,stirring spoon
720,kitchen utensil,waffle iron
721,bldg for religious servic,church
722,bldg for religious servic,synagogue
723,bldg for religious servic,temple
724,bldg for religious servic,chapel
725,bldg for religious servic,cathedral
726,bldg for religious servic,mosque
727,bldg for religious servic,shrine
728,bldg for religious servic,monastery
729,bldg for religious servic,tabernacle
730,bldg for religious servic,pagoda
731,bldg for religious servic,sanctuary
732,bldg for religious servic,tent
733,bldg for religious servic,parish
734,bldg for religious servic,house
735,bldg for religious servic,shul
736,bldg for religious servic,basilica
737,bldg for religious servic,convent
738,bldg for religious servic,home
739,bldg for religious servic,school
740,bldg for religious servic,house of god
741,bldg for religious servic,altar
742,bldg for religious servic,hall
743,bldg for religious servic,meetinghouse
744,bldg for religious servic,abbey
745,bldg for religious servic,auditorium
746,bldg for religious servic,mission
747,bldg for religious servic,priest
748,bldg for religious servic,rectory
749,bldg for religious servic,catacomb
750,bldg for religious servic,foundation
751,bldg for religious servic,house of worship
752,bldg for religious servic,meeting hall
753,bldg for religious servic,parish hall
754,bldg for religious servic,pyramid
755,bldg for religious servic,seminary
756,bldg for religious servic,assembly hall
757,bldg for religious servic,building
758,bldg for religious servic,cross
759,bldg for religious servic,funeral home
760,bldg for religious servic,mass
761,bldg for religious servic,nunnery
762,bldg for religious servic,pews
763,bldg for religious servic,retreat
764,bldg for religious servic,tower
765,part of speech,noun
766,part of speech,adjective
767,part of speech,pronoun
768,part of speech,verb
769,part of speech,adverb
770,part of speech,conjuction
771,part of speech,preposition
772,part of speech,interjection
773,part of speech,participle
774,part of speech,gerund
775,part of speech,words
776,part of speech,article
777,part of speech,subject
778,part of speech,direct object
779,part of speech,tongue
780,part of speech,indirect object
781,part of speech,sounds
782,part of speech,sentences
783,part of speech,vowels
784,part of speech,infinitive
785,part of speech,object
786,part of speech,mouth
787,part of speech,predicate
788,part of speech,teeth
789,part of speech,clause
790,part of speech,consonant
791,part of speech,phrases
792,part of speech,lips
793,part of speech,modifier
794,part of speech,voice
795,part of speech,vocal cords
796,part of speech,diction
797,part of speech,larynx
798,part of speech,syllables
799,part of speech,noises
800,part of speech,talking
801,part of speech,throat
802,part of speech,articulation
803,part of speech,brain
804,part of speech,exclamation
805,part of speech,object of preposit
806,part of speech,predicate adjectiv
807,part of speech,pronunciation
808,part of speech,tone
809,part of speech,antecedent
810,part of speech,appositive
811,part of speech,expletive
812,part of speech,grammer
813,part of speech,language
814,part of speech,metaphor
815,part of speech,palate
816,part of speech,paragraph
817,part of speech,predicate noun
818,part of speech,proper noun
819,part of speech,simile
820,part of speech,uvula
821,part of speech,verbal
822,part of speech,vocabulary
823,part of speech,alphabet
824,part of speech,articulators
825,part of speech,comma
826,part of speech,compound
827,part of speech,conversation
828,part of speech,diaphragm
829,part of speech,ear
830,part of speech,enunciation
831,part of speech,hearing
832,part of speech,inflection
833,part of speech,jaw
834,part of speech,letters
835,part of speech,lisp
836,part of speech,meanings
837,part of speech,message
838,part of speech,movements
839,part of speech,phoneme
840,part of speech,pitch
841,part of speech,predicate nominati
842,part of speech,syntax
843,part of speech,verb clause
844,article of furniture,chair
845,article of furniture,table
846,article of furniture,bed
847,article of furniture,sofa
848,article of furniture,desk
849,article of furniture,lamp
850,article of furniture,couch
851,article of furniture,dresser
852,article of furniture,television
853,article of furniture,stool
854,article of furniture,bureau
855,article of furniture,rug
856,article of furniture,coffee table
857,article of furniture,bookcase
858,article of furniture,cabinet
859,article of furniture,chest
860,article of furniture,piano
861,article of furniture,footstool
862,article of furniture,buffet
863,article of furniture,end table
864,article of furniture,radio
865,article of furniture,stereo
866,article of furniture,hi-fi
867,article of furniture,picture
868,article of furniture,davenport
869,article of furniture,love seat
870,article of furniture,bench
871,article of furniture,divan
872,article of furniture,hassock
873,article of furniture,lounge
874,article of furniture,mirror
875,article of furniture,refrigerator
876,article of furniture,chest of drawers
877,article of furniture,china closet
878,article of furniture,night table
879,article of furniture,rocker
880,article of furniture,stove
881,article of furniture,night stand
882,article of furniture,drawers
883,article of furniture,hutch
884,article of furniture,lounge chair
885,article of furniture,shelf
886,article of furniture,vanity
887,article of furniture,bar
888,article of furniture,chaise lounge
889,article of furniture,vanity table
890,article of furniture,ashtray
891,article of furniture,breakfront
892,article of furniture,cupboard
893,article of furniture,easy chair
894,article of furniture,ottoman
895,article of furniture,rocking chair
896,article of furniture,drapes
897,article of furniture,organ
898,article of furniture,record player
899,article of furniture,sink
900,article of furniture,stand
901,article of furniture,armchair
902,article of furniture,cedar chest
903,article of furniture,clock
904,article of furniture,counter
905,article of furniture,crib
906,article of furniture,cushion
907,article of furniture,dinette
908,article of furniture,lights
909,article of furniture,magazine rack
910,article of furniture,phonograph
911,article of furniture,settee
912,article of furniture,sewing machine
913,article of furniture,vase
914,article of furniture,cadenza
915,article of furniture,chaise
916,article of furniture,closet
917,article of furniture,cot
918,article of furniture,curtains
919,article of furniture,dining-room table
920,article of furniture,high chair
921,article of furniture,kitchen table
922,article of furniture,pillow
923,article of furniture,room divider
924,article of furniture,round table
925,article of furniture,secretary
926,article of furniture,seat
927,article of furniture,side table
928,part of the human body,legs
929,part of the human body,arms
930,part of the human body,head
931,part of the human body,eye
932,part of the human body,foot
933,part of the human body,nose
934,part of the human body,finger
935,part of the human body,ear
936,part of the human body,hand
937,part of the human body,toe
938,part of the human body,mouth
939,part of the human body,stomach
940,part of the human body,hair
941,part of the human body,neck
942,part of the human body,heart
943,part of the human body,knee
944,part of the human body,chest
945,part of the human body,liver
946,part of the human body,brain
947,part of the human body,lungs
948,part of the human body,tooth
949,part of the human body,elbow
950,part of the human body,shoulders
951,part of the human body,face
952,part of the human body,tongue
953,part of the human body,ankle
954,part of the human body,throat
955,part of the human body,back
956,part of the human body,trunk
957,part of the human body,nail
958,part of the human body,intestine
959,part of the human body,hip
960,part of the human body,lips
961,part of the human body,wrist
962,part of the human body,breast
963,part of the human body,kidney
964,part of the human body,pancreas
965,part of the human body,thighs
966,part of the human body,bone
967,part of the human body,muscles
968,part of the human body,waist
969,part of the human body,torso
970,part of the human body,abdomen
971,part of the human body,fingernail
972,part of the human body,thumb
973,part of the human body,chin
974,part of the human body,skin
975,part of the human body,gallbladder
976,part of the human body,penis
977,part of the human body,calves
978,part of the human body,nerves
979,part of the human body,blood
980,part of the human body,ribs
981,part of the human body,cheek
982,part of the human body,esophagus
983,part of the human body,organs
984,part of the human body,pelvis
985,part of the human body,shin
986,part of the human body,spleen
987,part of the human body,veins
988,part of the human body,arteries
989,part of the human body,eyebrow
990,part of the human body,bladder
991,part of the human body,genitals
992,part of the human body,knuckles
993,part of the human body,large intestine
994,part of the human body,skull
995,part of the human body,small intestine
996,part of the human body,spinal cord
997,part of the human body,thorax
998,part of the human body,belly
999,part of the human body,bicep
1000,part of the human body,femur
1001,part of the human body,glands
1002,part of the human body,limbs
1003,part of the human body,ovary
1004,part of the human body,skeleton
1005,part of the human body,testes
1006,part of the human body,tibia
1007,part of the human body,trachea
1008,part of the human body,ulna
1009,part of the human body,anus
1010,part of the human body,appendix
1011,part of the human body,blood vessels
1012,part of the human body,body
1013,part of the human body,clavicle
1014,part of the human body,digits
1015,part of the human body,fallopian tubes
1016,part of the human body,forearm
1017,part of the human body,gullet
1018,part of the human body,humerus
1019,part of the human body,ligaments
1020,part of the human body,lymph gland
1021,part of the human body,mind
1022,part of the human body,navel
1023,part of the human body,radius
1024,part of the human body,rectum
1025,part of the human body,scapula
1026,part of the human body,scrotum
1027,part of the human body,sex organs
1028,part of the human body,toenail
1029,part of the human body,tricep
1030,part of the human body,vagina
1031,fruit,apple
1032,fruit,orange
1033,fruit,pear
1034,fruit,banana
1035,fruit,peach
1036,fruit,grape
1037,fruit,cherry
1038,fruit,plum
1039,fruit,grapefruit
1040,fruit,lemon
1041,fruit,tangerine
1042,fruit,apricot
1043,fruit,pineapple
1044,fruit,lime
1045,fruit,tomato
1046,fruit,strawberry
1047,fruit,watermelon
1048,fruit,prunes
1049,fruit,cantalope
1050,fruit,raspberry
1051,fruit,pomegranate
1052,fruit,blueberry
1053,fruit,mango
1054,fruit,avocado
1055,fruit,fig
1056,fruit,raisin
1057,fruit,coconut
1058,fruit,nectarine
1059,fruit,berry
1060,fruit,melon
1061,fruit,kumquat
1062,fruit,blackberry
1063,fruit,date
1064,fruit,papaya
1065,fruit,honeydew
1066,fruit,olive
1067,fruit,parsimmon
1068,fruit,nut
1069,fruit,papaw
1070,weapon,knife
1071,weapon,gun
1072,weapon,rifle
1073,weapon,bomb
1074,weapon,club
1075,weapon,sword
1076,weapon,bow and arrow
1077,weapon,pistol
1078,weapon,rope
1079,weapon,cannon
1080,weapon,spear
1081,weapon,fists
1082,weapon,stick
1083,weapon,hand grenade
1084,weapon,machine gun
1085,weapon,axe
1086,weapon,brass knuckles
1087,weapon,tank
1088,weapon,poison
1089,weapon,missile
1090,weapon,bayonet
1091,weapon,chain
1092,weapon,whip
1093,weapon,hammer
1094,weapon,rock
1095,weapon,hand
1096,weapon,arrow
1097,weapon,stone
1098,weapon,automobile
1099,weapon,bazooka
1100,weapon,glass
1101,weapon,slingshot
1102,weapon,blackjack
1103,weapon,revolver
1104,weapon,shotgun
1105,weapon,pipe
1106,weapon,a-bomb
1107,weapon,airplane
1108,weapon,bow
1109,weapon,dagger
1110,weapon,gas
1111,weapon,ice pick
1112,weapon,foot
1113,weapon,hatchet
1114,weapon,mortar
1115,weapon,scissors
1116,weapon,lance
1117,weapon,switchblade
1118,weapon,lead pipe
1119,weapon,razor blade
1120,weapon,rocket
1121,weapon,bat
1122,weapon,grenade
1123,weapon,words
1124,weapon,pin
1125,weapon,torpedo
1126,weapon,artillery
1127,weapon,bottle
1128,weapon,bullet
1129,weapon,candlestick
1130,weapon,crossbow
1131,weapon,flamethrower
1132,weapon,hat pin
1133,weapon,poison dart
1134,weapon,saber
1135,weapon,tear gas
1136,weapon,crowbar
1137,weapon,dart
1138,weapon,h-bomb
1139,weapon,iron bar
1140,weapon,wrench
1141,weapon,acid
1142,weapon,blowgun
1143,weapon,machete
1144,weapon,nightstick
1145,weapon,pitchfork
1146,weapon,scarf
1147,weapon,tire iron
1148,weapon,tomahawk
1149,weapon,blade
1150,weapon,boat
1151,weapon,brick
1152,weapon,chair
1153,weapon,fighter plane
1154,weapon,fire
1155,weapon,fork
1156,weapon,harpoon
1157,weapon,howitzer
1158,weapon,judo
1159,weapon,letter opener
1160,weapon,razor
1161,weapon,recoilless rifle
1162,weapon,screwdriver
1163,weapon,shoes
1164,weapon,stiletto
1165,weapon,arm
1166,weapon,billy club
1167,weapon,bolo
1168,weapon,book
1169,weapon,can of hairspray
1170,weapon,cane
1171,weapon,catapult
1172,weapon,forty-five pistol
1173,weapon,germs
1174,weapon,hose
1175,weapon,javelin
1176,weapon,kill
1177,weapon,knuckles
1178,weapon,laser
1179,weapon,metal
1180,weapon,muscles
1181,weapon,nail
1182,weapon,nuclear bomb
1183,weapon,peashooter
1184,weapon,piano wire
1185,weapon,reason
1186,weapon,rod
1187,weapon,shoot
1188,weapon,shovel
1189,weapon,sickle
1190,weapon,tear-gas gun
1191,weapon,war
1192,elective office,president
1193,elective office,vice-president
